Year,Arable land (% of land area)
1961,9.488119917
1962,9.201084357
1963,12.62956466
1964,12.59767182
1965,12.64551108
1966,12.62956466
1967,12.62956466
1968,12.72524318
1969,12.8209217
1970,12.91660022
1971,13.01227874
1972,13.10795726
1973,13.20363578
1974,13.2993143
1975,13.55445702
1976,14.35177803
1977,15.14909903
1978,15.94642003
1979,14.35177803
1980,14.35177803
1981,14.35177803
1982,13.66608196
1983,13.857439
1984,13.90527827
1985,13.96906395
1986,14.14447457
1987,14.27204593
1988,14.31988519
1989,14.36772445
1990,14.35177803
1991,14.39961729
1992,14.43151013
1993,14.03284963
1994,14.08068889
1995,14.12852815
1996,14.14447457
1997,14.16042099
1998,14.17636741
1999,14.43151013
2000,14.59097433
2001,14.60692075
2002,14.92584915
2003,15.14909903
2004,14.35177803
2005,17.54106203
2006,16.74374103
2007,15.94642003
2008,19.13570403
2009,19.13570403
2010,19.13570403
2011,20.73034604
2012,20.73034604
2013,20.73034604
2014,20.73034604
2015,21.00399076
2016,21.16555992
2017,21.33036046
2018,22.17121428
2019,22.17060617
2020,22.17911413
